stage,L,Nv,q,W,alpha,bc,placement,n_real,seed_base,n_spacings,D_pooled,p_pooled,D_min,D_med,D_max,mean_abs_dR2,d_GUE,d_Pois,r_mean,D_excess,ks_pass,r2_pass,gue_closer,stab_pass,composite_ok,runtime_s
A,24,12,1.0,0.0,0.5,open,protocol,3,96,1029,0.0454069,0.0302928,0.0343153,0.0473637,0.0866034,0.107845,0.110889,0.201917,0.612692,0.0129569,True,False,True,True,False,0.207061
A,24,12,1.0,0.5,0.5,open,protocol,3,96,1029,0.0434928,0.0428073,0.0473354,0.0516578,0.0604824,0.101962,0.0965564,0.196018,0.603227,0.0110428,True,False,True,True,False,0.209324
A,24,12,1.0,1.0,0.5,open,protocol,3,96,1029,0.0393073,0.0865673,0.0420102,0.0559756,0.0572663,0.105195,0.10053,0.200688,0.576511,0.00685732,True,False,True,True,False,0.213614
A,24,16,0.2,0.0,0.5,open,protocol,3,96,1029,0.308545,1.9041e-84,0.29589,0.326077,0.356217,0.200025,0.198672,0.165294,0.470391,0.276095,False,False,False,True,False,0.206418
A,24,16,0.2,0.5,0.5,open,protocol,3,96,1029,0.237929,2.17846e-50,0.216581,0.251233,0.276126,0.162304,0.155224,0.155217,0.513352,0.205479,False,False,False,True,False,0.20694
A,24,16,0.2,1.0,0.5,open,protocol,3,96,1029,0.184283,2.13108e-30,0.169029,0.174363,0.224715,0.156872,0.151375,0.179304,0.565636,0.151833,False,False,True,True,False,0.243356
A,24,16,0.3,0.0,0.5,open,protocol,3,96,1029,0.166753,5.74976e-25,0.133156,0.193767,0.197071,0.143371,0.138912,0.178813,0.529846,0.134303,False,False,True,True,False,0.222519
A,24,16,0.3,0.5,0.5,open,protocol,3,96,1029,0.117578,1.25839e-12,0.119219,0.122101,0.137201,0.120713,0.115492,0.178813,0.568986,0.0851277,False,False,True,True,False,0.210636
A,24,16,0.3,1.0,0.5,open,protocol,3,96,1029,0.0790973,6.01556e-06,0.0651025,0.0806457,0.110091,0.114915,0.10811,0.188644,0.585541,0.0466473,True,False,True,True,False,0.205667
A,24,16,0.5,0.0,0.5,open,protocol,3,96,1029,0.0936494,3.63603e-08,0.0798919,0.103597,0.106443,0.124173,0.115774,0.192331,0.570597,0.0611994,True,False,True,True,False,0.208339
A,24,16,0.5,0.5,0.5,open,protocol,3,96,1029,0.0550614,0.0042196,0.0590958,0.0641296,0.0657024,0.11617,0.108266,0.202655,0.591674,0.0226114,True,False,True,True,False,0.204201
A,24,16,0.5,1.0,0.5,open,protocol,3,96,1029,0.031978,0.249839,0.0327442,0.0391305,0.053061,0.0936462,0.0942921,0.197001,0.603005,-0.000472021,True,True,True,True,True,0.206113
A,24,16,0.7,0.0,0.5,open,protocol,3,96,1029,0.0718944,5.48476e-05,0.0654141,0.0891524,0.0906516,0.125055,0.116977,0.198968,0.566474,0.0394444,True,False,True,True,False,0.207596
A,24,16,0.7,0.5,0.5,open,protocol,3,96,1029,0.0320989,0.245959,0.0452217,0.0456329,0.0615636,0.097778,0.0980129,0.201917,0.612377,-0.000351125,True,True,True,True,True,0.2069
A,24,16,0.7,1.0,0.5,open,protocol,3,96,1029,0.0303652,0.305968,0.0333263,0.0396171,0.0466875,0.0922093,0.0827179,0.186432,0.612895,-0.00208476,True,True,True,True,True,0.228364
A,24,16,1.0,0.0,0.5,open,protocol,3,96,1029,0.0373063,0.118196,0.0393811,0.041754,0.0564528,0.118356,0.118755,0.213715,0.607384,0.00485629,True,False,True,True,False,0.208638
