s_AB,s_zeta
0.42221606,0.81264521
1.61446198,1.46900394
1.11377769,1.02935358
0.92217363,0.75358007
0.78084373,1.32696896
2.00765990,0.40357714
0.33558269,0.86923403
1.48863250,1.11255846
0.96241139,1.90539150
0.96547414,0.38717379
0.48274442,1.10535108
2.17995254,0.67717321
0.48380796,1.44539554
1.14030256,0.58148124
0.61875813,0.92378191
0.18804349,1.27413403
0.77969258,0.83196961
1.62084593,1.69707890
0.74749630,0.63872561
1.38026545,0.82356114
0.43164764,0.65173665
1.78127296,1.14686432
0.82660716,1.04419525
1.75796920,1.32053241
0.67347771,1.06923685
0.36572679,0.79743564
0.07937906,0.94545817
1.90575287,1.08101628
0.78624952,1.03167362
0.43434978,0.86251397
1.29000625,0.31269543
0.85859276,2.15281968
1.33968859,0.85800737
1.10778707,0.80259183
1.03432676,0.99503806
0.71390369,0.79051446
2.61681419,0.75742067
0.80069016,1.48006031
0.78381116,0.77895779
0.84114756,1.32801291
0.37850850,0.69634086
0.45683309,1.41581297
1.52554270,0.99187831
1.09113789,0.28321423
0.91790695,1.28676980
1.17511840,0.71153655
2.38252659,1.45259989
0.62806697,1.48712865
0.57152777,0.79604222
0.13309212,0.26519920
0.52711912,1.29522050
1.58650899,1.31242085
2.10527070,0.52950136
0.45914584,1.05736855
0.38301836,1.21775804
0.80981181,1.23469856
0.82578036,0.97463275
0.52377851,0.92064940
1.38633343,0.85343810
1.00147870,0.72259301
0.45144425,0.78655711
2.67728831,1.80745672
0.41799518,0.94002424
1.30798916,0.64463548
1.28887494,1.46219558
0.35184228,0.36823733
0.74570121,1.38961705
1.70623109,0.77386324
1.03291411,0.90514439
0.88609437,0.86812727
0.81531142,1.83667782
0.62029681,0.73232340
1.30517154,0.93442034
0.53021846,0.66081518
1.01629954,0.83671753
2.07227370,1.44448993
1.09951440,0.53626721
0.99270033,1.67476727
0.45873802,0.86241929
1.10030419,0.63399992
1.05276885,1.40845440
1.44944224,1.19993404
0.88525021,0.13762719
0.71148968,1.04394831
0.27308846,1.19138339
1.13036928,1.57385972
0.37785924,0.91572540
1.34246676,0.80825150
1.12270970,0.84893482
1.55331025,0.85195109
1.30502338,1.05325600
1.29249784,1.28291395
0.49615155,0.63153096
0.34191012,1.23123302
0.69109394,1.32140201
0.94640540,1.12824607
1.78317269,0.21721322
1.45891516,1.52746418
0.52287478,0.42528829
0.64549328,0.91255340
1.42313860,1.88970653
1.02275786,0.78156640
0.80177286,1.08829656
0.74601838,0.34498089
2.52273464,1.53410470
1.47908329,0.79127764
0.56518371,0.99758997
0.63222126,0.58901751
0.83019728,1.65417902
0.36057502,0.85587596
1.59936479,1.39478726
0.82109879,0.73367518
0.79048654,0.59719631
2.08602603,0.78546407
0.38803099,1.37937878
0.56095152,1.05044108
1.44420745,1.16257984
1.03412230,1.10263966
0.94608962,0.61117565
1.35403715,1.29994771
0.24608177,0.81616847
0.21431616,0.98411412
0.88606847,0.73706406
1.05424127,0.87136914
0.48859551,2.14978141
0.87208909,0.39929103
1.35542702,0.79420066
1.45832388,1.09155402
1.31681639,0.81721116
0.38516240,0.98466462
0.65734977,1.04711020
0.76585577,1.42824329
1.00234399,0.51095764
0.26264093,1.41278369
2.64256732,0.97933083
0.48764659,0.98640000
2.48601062,0.67976457
0.89634772,0.67858657
0.39916760,1.24735341
1.19599140,1.42751000
2.24095397,1.10995719
0.41186646,0.86288106
1.11551447,0.86191644
1.04244490,0.50549737
1.05710133,1.83947899
1.35201455,0.35239524
0.83770971,0.88885686
1.19694663,1.42983768
0.74531545,1.22128082
0.44855221,0.90537635
0.65531509,1.02025981
1.62123824,0.60663639
1.14213172,1.06176488
0.83484086,0.61063988
1.42464942,1.61822296
0.62113159,1.50234210
1.11279704,0.16881927
0.30203900,1.13931090
1.62040611,1.37489379
0.60106734,0.62582891
0.40542596,0.85755644
0.74473709,1.23733271
1.29548655,0.52703766
0.87395340,1.72767725
2.36287935,1.21759142
0.45801359,0.66698747
0.55750659,0.62144330
1.07142635,1.05931474
1.07759449,0.91396543
0.76309119,1.35440320
1.10879626,0.71835404
1.15642978,1.53143898
0.45980853,0.65945184
0.70681143,0.95771435
1.15866559,1.32603868
0.59718535,0.67406087
0.80043550,0.81570048
0.90087193,0.58225159
1.79023652,2.02257542
0.31381185,0.82199995
1.79789155,0.97855660
1.04006634,0.89169522
0.19664030,0.65590395
1.39403192,1.20856827
1.56483733,0.95030899
1.24691118,1.00871368
0.94300327,1.11268550
1.29516399,0.91964716
0.42266903,1.64802877
1.64983533,0.42319472
0.64049074,0.94114529
1.62461549,0.74160533
0.53241251,1.18853271
1.15818951,0.74100666
0.53735056,1.98949458
1.27615194,0.48319647
